Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator PIC_AIRFACTORY-1500     -33.147mm     -39.751mm     184.658mm       6.604mm     -33.147mm     -39.751mm  T        360.00 Comment        
J1         XH2.54-5PW           38.599mm       7.366mm      33.599mm       7.366mm      33.599mm       7.366mm  T        360.00 CON5           
J6         XH2.54-4PW           53.732mm       7.366mm      49.982mm       7.366mm      49.982mm       7.366mm  T        360.00 CON4           
J2         XH2.54-8PW           14.676mm       7.366mm       5.786mm       7.366mm       5.786mm       7.366mm  T        360.00 CON8           
J3         XH2.54-2PW          166.985mm       7.239mm     165.735mm       7.239mm     165.735mm       7.239mm  T        360.00 CON2           
C2         CE06150_-_W         25.8572mm      27.666mm     25.8572mm      26.416mm     25.8572mm      26.416mm  T        180.00 220uF/16V      
C1         CE06150             18.6436mm      18.308mm     18.6436mm      19.558mm     18.6436mm      19.558mm  T        360.00 100uF/35V      
J4         SIP2                39.6087mm     39.6793mm     38.3387mm     39.6793mm     38.3387mm     39.6793mm  T        360.00 CON2           
C18        CE06150_-_W          20.701mm       36.85mm      20.701mm        38.1mm      20.701mm        38.1mm  T        180.00 47uF/25V       
U6         LED08031            99.9762mm        20.3mm     99.9762mm        20.3mm     93.6262mm       9.125mm  T        360.00 SP410801K      
BZ1        BUZ1                  9.475mm      47.498mm       5.675mm      47.498mm       5.675mm      47.498mm  T        360.00 BUZZER         
C12        CE06150               3.387mm      10.648mm       3.387mm       9.398mm       3.387mm       9.398mm  T        180.00 100uF/16V      
LD5        LED1                   69.4mm        47.3mm        69.4mm        47.3mm        69.4mm       46.03mm  T        180.00 WHITE          
LD11       LED1                   86.4mm        38.7mm        86.4mm        38.7mm        86.4mm       37.43mm  T        180.00 WHITE          
LD9        LED1                   86.4mm        47.3mm        86.4mm        47.3mm        86.4mm       46.03mm  T        180.00 WHITE          
LD13       LED1                    103mm        47.3mm         103mm        47.3mm         103mm       46.03mm  T        180.00 WHITE          
LD1        LED1                   54.7mm          43mm        54.7mm          43mm        54.7mm       41.73mm  T        180.00 WHITE          
LD3        LED1                     50mm          43mm          50mm          43mm          50mm       41.73mm  T        180.00 WHITE          
LD7        LED1                   69.4mm        38.7mm        69.4mm        38.7mm        69.4mm       37.43mm  T        180.00 WHITE          
LD10       LED1                  129.4mm        38.7mm       129.4mm        38.7mm       129.4mm       37.43mm  T        180.00 WHITE          
LD4        LED1                  112.9mm        47.3mm       112.9mm        47.3mm       112.9mm       46.03mm  T        180.00 WHITE          
LD6        LED1                  112.9mm        38.7mm       112.9mm        38.7mm       112.9mm       37.43mm  T        180.00 WHITE          
LD8        LED1                  129.4mm        47.3mm       129.4mm        47.3mm       129.4mm       46.03mm  T        180.00 WHITE          
LD2        LED1                    103mm        38.7mm         103mm        38.7mm         103mm       37.43mm  T        180.00 WHITE          
+5V        TP_60_30              2.794mm      18.923mm       2.794mm      18.923mm       2.794mm      18.923mm  T          0.00 T POINT A      
GND        TP_60_30             31.496mm     39.6793mm      31.496mm     39.6793mm      31.496mm     39.6793mm  T          0.00 T POINT A      
VCC        TP_60_30             29.972mm       8.509mm      29.972mm       8.509mm      29.972mm       8.509mm  T          0.00 T POINT A      
J8         SIP4                136.746mm       3.048mm     140.556mm       3.048mm     140.556mm       3.048mm  T        180.00 CON4           
LD12       LED1                147.447mm        47.3mm     147.447mm        47.3mm     147.447mm       46.03mm  T        180.00 WHITE          
+3.3V      TP_60_30            158.299mm      48.122mm     158.299mm      48.122mm     158.299mm      48.122mm  T         90.00 T POINT A      
C5         CE06150_-_W        161.6757mm     38.1553mm    162.9257mm     38.1553mm    162.9257mm     38.1553mm  T        270.00 47uF/25V       
C6         CE06150_-_W        181.4477mm     36.8853mm    180.1977mm     36.8853mm    180.1977mm     36.8853mm  T        270.00 47uF/25V       
J7         HT8550_FLASH_LOADER     161.742mm     15.0512mm     161.742mm     15.0512mm     164.282mm     13.7813mm  T        180.00 header-2x3-2d54
K2         KEY_SMD5465        186.0972mm      48.324mm    184.2972mm      45.074mm    184.2972mm      45.074mm  T         90.00 KEY            
K3         KEY_SMD5465        193.9712mm      48.324mm    192.1712mm      45.074mm    192.1712mm      45.074mm  T         90.00 KEY            
TXD        TP_60_30            174.188mm      27.167mm     174.188mm      27.167mm     174.188mm      27.167mm  T          0.00 Wi-Fi_TXD      
RXD        TP_60_30            174.188mm       23.23mm     174.188mm       23.23mm     174.188mm       23.23mm  T          0.00 Wi-Fi_RXD      
Test_T     TP_60_30           191.7547mm     35.8031mm    191.7547mm     35.8031mm    191.7547mm     35.8031mm  T          0.00 TEST_TX        
Test_R     TP_60_30           191.7547mm     40.3143mm    191.7547mm     40.3143mm    191.7547mm     40.3143mm  T          0.00 TEST_RX        
J5         XH2.54-5PW           151.05mm       7.239mm      146.05mm       7.239mm      146.05mm       7.239mm  T        360.00 CON5           
R62        0805_R              155.829mm       43.18mm     155.829mm      42.037mm     155.829mm      42.037mm  B         90.00 47K            
R61        0805_R              157.861mm       43.18mm     157.861mm      44.323mm     157.861mm      44.323mm  B        270.00 4.7K           
U5         LQFP32              44.0634mm      26.299mm     44.0634mm      26.299mm     46.8634mm      21.849mm  B        180.00 OB39R32T1W32VP 
D2         SMB-DO-214AA_DIOM4436X24N      18.415mm     28.2486mm      18.415mm     30.0736mm      18.415mm     30.0736mm  B        270.00 SMBJ20A        
U1         TO-263-5             10.062mm     31.4817mm      13.462mm      26.543mm      13.462mm      26.543mm  B        180.00 LM2596S-5.0    
L1         SMD_S7-7-5            9.192mm       19.05mm      12.192mm       19.05mm      12.192mm       19.05mm  B        180.00 33uH/1A        
D1         SMB-DO-214AA_DIOM4436X24N       9.826mm      12.446mm       8.001mm      12.446mm       8.001mm      12.446mm  B        360.00 1N5824         
C3         0805_C                2.794mm      22.733mm       1.651mm      22.733mm       1.651mm      22.733mm  B        360.00 1uF            
R15        0805_R              24.7905mm      12.954mm     25.9335mm     12.9541mm     25.9335mm      12.954mm  B        180.00 330            
U4         SOP20              103.2782mm       20.68mm    103.2782mm       20.68mm     97.5632mm     25.4552mm  B        270.00 TM1620         
C17        0805_C               52.049mm     23.1561mm      52.049mm      22.013mm      52.049mm      22.013mm  B         90.00 0.1uF          
C16        0805_C               65.476mm      20.436mm      64.333mm      20.436mm      64.333mm      20.436mm  B        360.00 100PF          
C15        0805_C               65.476mm      22.976mm      64.333mm      22.976mm      64.333mm      22.976mm  B        360.00 100PF          
C14        0805_C               65.476mm      25.516mm      64.333mm      25.516mm      64.333mm      25.516mm  B        360.00 100PF          
Q5         SOT23                 20.33mm        48.1mm       19.38mm      49.254mm       19.38mm      49.254mm  B        270.00 2N3904         
Q3         SOT23                25.283mm        48.1mm      24.333mm      49.254mm      24.333mm      49.254mm  B        270.00 2N3904         
Q1         SOT23                25.537mm      43.528mm      24.587mm      44.682mm      24.587mm      44.682mm  B        270.00 2N3906         
C10        0805_C                46.99mm      11.673mm      45.847mm      11.673mm      45.847mm      11.673mm  B        360.00 0.1uF          
C13        0805_C              94.7692mm     24.3123mm     94.7692mm     25.4552mm     94.7692mm     25.4553mm  B        270.00 0.1uF          
R5         0805_R             103.4206mm     12.6128mm    104.5636mm     12.6128mm    104.5636mm     12.6128mm  B        180.00 220            
R6         0805_R             116.6368mm     16.0418mm    115.4938mm     16.0418mm    115.4938mm     16.0418mm  B        360.00 220            
R8         0805_R             116.6368mm     20.6138mm    115.4938mm     20.6138mm    115.4938mm     20.6138mm  B        360.00 220            
R9         0805_R             116.7078mm     25.1858mm    115.5648mm     25.1858mm    115.5648mm     25.1858mm  B        360.00 220            
R10        0805_R              89.3236mm     16.0418mm     88.1806mm     16.0418mm     88.1806mm     16.0418mm  B        360.00 220            
R11        0805_R              89.3236mm     20.6138mm     90.4666mm     20.6138mm     90.4666mm     20.6138mm  B        180.00 220            
R12        0805_R              89.2828mm     32.0438mm     88.1398mm     32.0438mm     88.1398mm     32.0438mm  B          0.00 220            
R13        0805_R              89.3082mm     25.1858mm     90.4512mm     25.1858mm     90.4512mm     25.1858mm  B        180.00 220            
R14        0805_R               24.765mm      10.922mm      25.908mm     10.9221mm      25.908mm      10.922mm  B        180.00 330            
R16        0805_R               32.501mm      30.749mm      33.644mm      30.749mm      33.644mm      30.749mm  B        180.00 330            
R17        0805_R               60.142mm      25.516mm      58.999mm      25.516mm      58.999mm      25.516mm  B        360.00 10K            
R18        0805_R               60.142mm     22.9761mm      58.999mm      22.976mm      58.999mm     22.9761mm  B        360.00 10K            
R19        0805_R               60.142mm     20.4361mm      58.999mm      20.436mm      58.999mm     20.4361mm  B        360.00 10K            
R20        0805_R               48.006mm      16.245mm      48.006mm      17.388mm      48.006mm      17.388mm  B        270.00 1k             
R21        0805_R              160.909mm       6.096mm     160.909mm       4.953mm     160.909mm       4.953mm  B         90.00 1K             
R23        0805_R              89.3336mm     27.4718mm     90.4766mm     27.4718mm     90.4766mm     27.4718mm  B        180.00 220            
R24        0805_R              89.2828mm     29.7578mm     90.4258mm     29.7578mm     90.4258mm     29.7578mm  B        180.00 220            
R25        0805_R               28.905mm      45.825mm      28.905mm      44.682mm      28.905mm      44.682mm  B         90.00 4.7K           
R26        0805_R              89.3236mm     22.8998mm     90.4666mm     22.8998mm     90.4666mm     22.8998mm  B        180.00 220            
R27        0805_R              89.3236mm     18.3278mm     90.4666mm     18.3278mm     90.4666mm     18.3278mm  B        180.00 220            
R29        0805_R             116.7078mm     27.4718mm    115.5648mm     27.4718mm    115.5648mm     27.4718mm  B        360.00 220            
R30        0805_R              20.3452mm      43.517mm     20.3452mm      42.374mm     20.3452mm      42.374mm  B         90.00 4.7K           
