"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J9","SIP2","183.8794mm","48.49mm","185.1494mm","48.49mm","185.1494mm","48.49mm","T","180.00","CON2"
"LD12","LED1","147.447mm","47.3mm","147.447mm","47.3mm","147.447mm","46.03mm","T","180.00","WHITE"
"U2","M26-MODULE","188.3244mm","29.4234mm","179.4344mm","42.6734mm","194.6744mm","42.6734mm","T","270.00","M26_MODULE"
"J8","SIP4","169.142mm","3.302mm","172.952mm","3.302mm","172.952mm","3.302mm","T","180.00","CON4"
"VCC","TP_60_30","22.225mm","12.7mm","22.225mm","12.7mm","22.225mm","12.7mm","T","0.00","T POINT A"
"GND","TP_60_30","31.496mm","39.6793mm","31.496mm","39.6793mm","31.496mm","39.6793mm","T","0.00","T POINT A"
"+5V","TP_60_30","2.794mm","18.923mm","2.794mm","18.923mm","2.794mm","18.923mm","T","0.00","T POINT A"
"LD2","LED1","103mm","38.7mm","103mm","38.7mm","103mm","37.43mm","T","180.00","WHITE"
"LD8","LED1","129.4mm","47.3mm","129.4mm","47.3mm","129.4mm","46.03mm","T","180.00","WHITE"
"LD6","LED1","112.9mm","38.7mm","112.9mm","38.7mm","112.9mm","37.43mm","T","180.00","WHITE"
"LD4","LED1","112.9mm","47.3mm","112.9mm","47.3mm","112.9mm","46.03mm","T","180.00","WHITE"
"LD10","LED1","129.4mm","38.7mm","129.4mm","38.7mm","129.4mm","37.43mm","T","180.00","WHITE"
"LD7","LED1","69.4mm","38.7mm","69.4mm","38.7mm","69.4mm","37.43mm","T","180.00","WHITE"
"LD3","LED1","50mm","43mm","50mm","43mm","50mm","41.73mm","T","180.00","WHITE"
"LD1","LED1","54.7mm","43mm","54.7mm","43mm","54.7mm","41.73mm","T","180.00","WHITE"
"LD13","LED1","103mm","47.3mm","103mm","47.3mm","103mm","46.03mm","T","180.00","WHITE"
"LD9","LED1","86.4mm","47.3mm","86.4mm","47.3mm","86.4mm","46.03mm","T","180.00","WHITE"
"LD11","LED1","86.4mm","38.7mm","86.4mm","38.7mm","86.4mm","37.43mm","T","180.00","WHITE"
"LD5","LED1","69.4mm","47.3mm","69.4mm","47.3mm","69.4mm","46.03mm","T","180.00","WHITE"
"C12","CE06150","3.387mm","10.648mm","3.387mm","9.398mm","3.387mm","9.398mm","T","180.00","100uF/16V"
"BZ1","BUZ1","9.475mm","47.498mm","5.675mm","47.498mm","5.675mm","47.498mm","T","360.00","BUZZER"
